sent,type,original_sent
We need to recognize that climate change is ongoing and we can only expect the impacts will get stronger time goes on .,"['a1_to_be_present_is_am_are', 'a1_can', 'a1_present_simple_reg_act', 'a1_future_simple', 'a2_to_non_finite_forms']",We need to recognize that climate change is ongoing and we can only expect the impacts will get stronger time goes on.
Only motorcyclists who can skilfully manoeuvre between lanes are able to bypass the congestion .,"['a1_to_be_present_is_am_are', 'a1_can', 'a2_to_non_finite_forms', 'a2_passive_present_simple']",Only motorcyclists who can skilfully manoeuvre between lanes are able to bypass the congestion.
You can get in touch with any questions you 'd like to see answered in this series by emailing mona .,"['a1_can', 'a1_want_would_like_to', 'a2_to_non_finite_forms']",You can get in touch with any questions you'd like to see answered in this series by emailing mona.
"They ca n't help themselves from playing games , even when lives are on the line , Clinton said .","['a1_to_be_present_is_am_are', 'a1_can', 'a2_say_reported_verb']","They can't help themselves from playing games, even when lives are on the line, Clinton said."
The length of their journey and what they do to survive : how can an insect so small go so far ?,"['a1_can', 'a1_present_simple_reg_act', 'a1_special_questions', 'a2_to_non_finite_forms']",The length of their journey and what they do to survive: how can an insect so small go so far?
"Its people are US citizens , hold US passports , and can be drafted into the US military as López Rivera would soon discover .","['a1_to_be_present_is_am_are', 'a1_can']","Its people are US citizens, hold US passports, and can be drafted into the US military as López Rivera would soon discover."
"But when I asked him if he ever committed acts of armed force such as planting a bomb , he replied : I can not comment on that .","['a1_can', 'a1_past_simple_reg']","But when I asked him if he ever committed acts of armed force such as planting a bomb, he replied: I cannot comment on that."
Thus the waters of debt started to flood higher than they were supposed to .,"['a1_comparative_exept', 'a1_past_simple_reg', 'a2_to_non_finite_forms', 'a2_passive_past_simple']",Thus the waters of debt started to flood higher than they were supposed to.
"The pay could be better , but I consider myself very fortunate to still be able to work doing scientific research related to neurodegenerative diseases , a field I remain passionate about for obvious reasons .","['a1_comparative_exept', 'a1_present_simple_reg_act', 'a2_could', 'a2_to_non_finite_forms']","The pay could be better, but I consider myself very fortunate to still be able to work doing scientific research related to neurodegenerative diseases, a field I remain passionate about for obvious reasons."
But I also feel less alone in knowing that I am connected to him - and to my ancestors and nieces and nephews - in an intergenerational struggle for a better America .,"['a1_comparative_exept', 'a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a2_adjectives_ed', 'a2_ing_non_finite_forms']",But I also feel less alone in knowing that I am connected to him - and to my ancestors and nieces and nephews - in an intergenerational struggle for a better America.
"And with the political situation in the country , it 's not getting better .","['a1_comparative_exept', 'a1_present_continuous_act_rn']","And with the political situation in the country, it's not getting better."
"Highly classified information would no longer be concentrated in one place , making it harder for potential hackers .","['a1_comparative_short', 'a1_comparative_exept', 'a2_ing_non_finite_forms']","Highly classified information would no longer be concentrated in one place, making it harder for potential hackers."
"After two days of deadlocked talks , the resolution will be discussed further on Saturday in a bid to find consensus .","['a1_comparative_exept', 'a2_to_non_finite_forms']","After two days of deadlocked talks, the resolution will be discussed further on Saturday in a bid to find consensus."
"In its ruling , the court found no evidence that the law made abortion safer , as its supporters claimed , and served only to make abortions harder to obtain .","['a1_comparative_exept', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']","In its ruling, the court found no evidence that the law made abortion safer, as its supporters claimed, and served only to make abortions harder to obtain."
He 's found something much uglier that he wants to make the basis of his campaign .,"['a1_comparative_short', 'a1_comparative_exept', 'a1_present_simple_3d_pers', 'a2_present_perfect', 'a2_to_non_finite_forms']",He's found something much uglier that he wants to make the basis of his campaign.
"Of those , less than half came back to win Game 7 .","['a1_comparative_exept', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']","Of those, less than half came back to win Game 7."
"At one point their number of collapses were worse than the Philadelphia 76ers , one of the worst teams in the league this year .","['a1_comparative_exept', 'a1_superlative_exept', 'a1_to_be_past_was_were']","At one point their number of collapses were worse than the Philadelphia 76ers, one of the worst teams in the league this year."
"When babies are given alternatives to breastmilk , they breastfeed less often , making it harder for mothers to start and continue breastfeeding .","['a1_comparative_exept', 'a1_present_simple_reg_act', 'a2_ing_non_finite_forms', 'a2_passive_present_simple']","When babies are given alternatives to breastmilk, they breastfeed less often, making it harder for mothers to start and continue breastfeeding."
"But for those that want to take it further , an IV calculator is required .","['a1_comparative_exept', 'a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a2_passive_present_simple']","But for those that want to take it further, an IV calculator is required."
"For a candidate who leads every stump speech bragging about his poll numbers , there is less and less material every day .","['a1_comparative_exept', 'a1_to_be_present_is_am_are', 'a1_there_is_am_are', 'a1_present_simple_3d_pers', 'a2_relative_clause_others', 'a2_relative_clause_who_which_that']","For a candidate who leads every stump speech bragging about his poll numbers, there is less and less material every day."
A vote for Gary Johnson is a vote for a less hateful Donald Trump - a man who looks more like a game show contestant than a game show host .,"['a1_comparative_long', 'a1_comparative_exept', 'a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers', 'a2_relative_clause_others', 'a2_relative_clause_who_which_that']",A vote for Gary Johnson is a vote for a less hateful Donald Trump - a man who looks more like a game show contestant than a game show host.
Suppose someone is simulating our universe - it would be very tempting to cut corners in ways that makes the simulation cheaper to run .,"['a1_comparative_exept', 'a1_present_simple_3d_pers', 'a1_present_continuous_act_rn', 'a2_imperatives', 'a2_to_non_finite_forms', 'a2_zero_conditional_if_m']",Suppose someone is simulating our universe - it would be very tempting to cut corners in ways that makes the simulation cheaper to run.
Clinton favors strong enforcement of and would go further in regulating banks and financial markets to reduce the use of risky financial vehicles .,"['a1_comparative_exept', 'a1_present_simple_3d_pers', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']",Clinton favors strong enforcement of and would go further in regulating banks and financial markets to reduce the use of risky financial vehicles.
But we should go further to assess the pros and cons of radical scenarios for changing how we live and work .,"['a1_comparative_exept', 'a2_should', 'a2_to_non_finite_forms', 'a2_zero_non_finite_forms']",But we should go further to assess the pros and cons of radical scenarios for changing how we live and work.
